nombre,dni,genero,pelicula,formato,precio,fecha_visita,Año,Género,Rating (pro),Votos
Eugene Hanson,42054626,M,Jeux d'enfants,3D,12.89,2025-09-18,1986,,7.3,16.0
Kara Henson,92135554,F,Cade,3D,11.95,2026-01-26,2017,Drama,,
Katrina Stewart,57762444,F,Bride 13,Normal,7.18,2025-07-19,1920,"Action,Adventure,Thriller",,
Kimberly Logan,94925843,F,Control; Alt; Delete: Dr. Stundel's Program to Reboot Your Dangerous Teen,3D,11.22,2026-03-09,,Comedy,,
Patty Smith,27474478,F,How to Say Goodbye,3D,10.56,2025-07-01,,Documentary,,
James Jones,42906632,M,Geronia: His Own Wide World,3D,13.91,2025-07-11,2010,"Adventure,Romance",,
Jill Yu,11990217,F,N-Capace,Normal,7.07,2025-09-22,2014,"Documentary,Drama",5.9,97.0
Matthew Jones,72570460,M,Instant Orgasms! Her Body Learns to Convulse in Ecstasy. Karen Kaede. I Never Knew What a Real Orgasm Felt Like Until Now...,Normal,7.41,2026-01-12,2019,"Adult,Romance",9.3,9.0
Taylor Ward,77956652,F,Fleaosaurus,Normal,7.0,2025-12-22,,Sci-Fi,,
Heather Diaz,77883774,F,Confidentially Yours,Normal,7.93,2026-05-15,1983,"Comedy,Crime,Mystery",7.2,8086.0
Nicole Thomas,60701189,F,From the Shadows,3D,10.78,2026-03-04,2022,Documentary,7.3,11.0
Austin Smith,75775193,M,American Autumn: an Occudoc,3D,11.48,2025-12-08,2012,"Crime,Documentary,News",7.4,32.0
Kyle Joseph,84724818,M,Hickey Girl,3D,11.12,2026-05-02,,"Action,Drama",,
Veronica Johnson,94017197,F,From Below,3D,13.58,2026-03-07,,"Horror,Thriller",,
Patrick Ramirez,99736491,M,Jai Jai Maharashtra Majha,Normal,7.24,2026-03-03,2012,Drama,7.3,18.0
Ashley Pena,49327886,F,I Saw Waluigi in Real Life,3D,11.93,2025-12-12,2026,Comedy,,
Christopher Nelson,10618764,M,La perra,Normal,8.97,2025-08-04,1997,Action,,
Dana Ramos,32608094,F,Fleaosaurus,3D,11.47,2026-04-07,,Sci-Fi,,
Jonathan Davidson,54037058,M,Vice Squad,Normal,7.92,2025-08-04,1953,"Crime,Drama,Film-Noir",6.8,1607.0
Bradley Rollins,95832356,M,La perra,Normal,6.75,2025-08-24,1997,Action,,
Heidi Li,23102014,F,Zirabamuzaale,3D,11.89,2026-05-24,2012,Drama,,
Dr. Lindsay Hudson,82242981,F,I Live Above You,Normal,6.76,2026-03-10,,"Drama,Sci-Fi,Thriller",,
Joe Martin,21354936,M,Ninette,3D,12.35,2025-10-18,2005,Comedy,5.5,795.0
Lucas Mejia,85887441,M,The Merchant of Venice,Normal,7.99,2026-03-19,2015,Drama,,
Michael Perry,96802006,M,Transformers One,Normal,8.64,2025-07-03,2024,"Action,Adventure,Animation",7.6,66112.0
Brian Small,39222525,M,Wo ist mein Safe Space,Normal,7.19,2025-06-10,2022,Documentary,7.4,7.0
