nombre,dni,genero,pelicula,formato,precio,fecha_visita
Mario Cannon,67504142,M,Dan,Normal,6.78,2026-02-26
Morgan Shaw,45622095,F,"Romani, the Brigand",Normal,7.68,2025-10-27
Kenneth Lawrence,50408744,M,Arizona,Normal,7.23,2025-07-22
Sydney Odom,87996539,F,Captain Swift,3D,13.06,2025-08-03
John Mcgee,26398016,M,Salomy Jane,Normal,8.84,2025-12-23
Sean Owens,31310289,M,Le camée,Normal,8.68,2026-03-10
Brian Hansen,36556285,M,"10,000 Dollars",3D,10.46,2025-06-22
Cheyenne Graves,52037921,F,Saved in Mid-Air,Normal,7.95,2026-01-12
Julie Alexander,29270405,F,"10,000 Dollars",3D,13.77,2025-07-22
Austin Humphrey,44764184,M,The Seats of the Mighty,Normal,8.72,2026-01-03
Nicole Murray,92923244,F,The Climbers,Normal,7.23,2025-11-05
Christian Valdez,43816921,M,Mother Love,Normal,6.6,2025-09-08
Susan Chan,86970746,F,The Disciple,3D,13.89,2026-01-21
Brianna Chambers,92420790,F,Springtime,Normal,8.24,2025-07-06
Sean Watkins,73027988,M,"Hamlet, Prince of Denmark",Normal,6.41,2026-04-25
Wanda Haley,90513094,F,The Key to Yesterday,Normal,7.91,2025-11-21
Robin Austin,76479225,F,Anny - Story of a Prostitute,3D,13.1,2025-08-11
Timothy Benton,89841191,M,The Commanding Officer,Normal,8.78,2026-05-05
Devin Murphy,93074337,M,Un solo corazón o Los muertos viven,3D,13.79,2025-07-05
Monica Blevins,28974257,F,"How Fine, How Fresh the Roses Were",3D,11.47,2025-10-15
Pam Chavez,80985021,F,Brewster's Millions,3D,13.27,2025-06-30
Robert Perez,30853784,M,The Case of Becky,Normal,8.29,2025-09-03
Selena Pham,13818491,F,Revolução de 5 de Outubro,3D,12.08,2026-04-09
William Brown,46225280,M,The Wrath of the Gods,Normal,8.22,2025-08-20
Andrew Garcia,16728513,M,The Bartered Bride,Normal,8.84,2026-02-10
Jill Beard,36335662,F,The Lipton Cup: Introducing Sir Thomas Lipton,Normal,8.09,2026-04-16
Mrs. Amber Duran MD,70625487,F,Zona olivarera,Normal,6.5,2025-08-17
Gary Hughes,65263496,M,The Yellow Traffic,Normal,7.89,2026-01-18
David Weiss,73694782,M,The Secret of the Mountain,Normal,7.64,2025-12-31
Anna Clark,48374059,F,Are They Born or Made?,Normal,8.29,2025-05-25
Jennifer Matthews,66144218,F,The Trey o' Hearts,3D,13.41,2026-03-31
Raymond Nelson,32488427,M,Camille,Normal,7.71,2025-08-13
Daniel Martin,69739762,M,Gira política de Madero y Pino Suárez,Normal,7.86,2026-02-05
Shannon Jones,87524296,F,A Woman's Triumph,3D,13.42,2025-06-30
Christina Smith,48298809,F,Los Pirineos de Port-Bou a Andorra,3D,10.0,2025-10-20
Craig Williams,15791644,M,The Boundary Rider,3D,11.68,2025-08-10
Brett Bowman,23150564,M,The Cheat,Normal,6.37,2026-04-16
Jennifer Mendoza,33561321,F,Tirol in Waffen,Normal,6.6,2025-06-04
David Hamilton,29232712,M,The Criminal Code,Normal,7.52,2025-09-21
Andrea Jimenez,39313761,F,The Escape,Normal,7.55,2025-05-28
Tonya Mahoney,40902773,F,The Million Dollar Robbery,Normal,6.93,2025-06-13
Rachael Allen,83171086,F,The Hazards of Helen,3D,12.6,2026-04-12
Devin Diaz,27233764,M,Love of Perdition,Normal,8.6,2025-10-01
Christopher Walker,47210761,M,The Gamblers,3D,10.0,2026-01-06
Emily Santos,13610792,F,El calvario de un héroe,Normal,8.15,2025-06-13
Michael Davis,22527853,M,Robin Hood,Normal,8.44,2025-06-14
Robert Ware,85093432,M,The Arab,3D,12.74,2025-06-05
Jacob Mcfarland,72110436,M,The Trail of the Lonesome Pine,3D,13.25,2026-02-01
Jon Smith,35234948,M,After the Ball,Normal,8.39,2026-05-05
Megan Vazquez,20556273,F,Amor de pescadora,3D,13.64,2025-07-17
Mrs. Pamela Gutierrez,66548433,F,A 300 éves ember,3D,11.1,2025-05-20
Jonathan Williams,33971718,M,The Lotus Dancer,3D,13.64,2025-11-30
David Jones,21803220,M,The Merchant of Venice,3D,12.64,2026-02-07
Dr. Lisa Clark,62891342,F,Maskierte Liebe,3D,13.08,2025-08-09
Jessica Andrews,19803774,F,The Commanding Officer,3D,10.49,2025-11-12
Brandon Collins,45197261,M,Un solo corazón o Los muertos viven,Normal,7.55,2026-01-15
Terry Rivera,37848938,M,För sin kärleks skull,3D,11.14,2025-12-17
Justin Edwards,52588516,M,The Boundary Rider,Normal,6.35,2025-11-20
Savannah Kemp,24257219,F,A Modern Mephisto,Normal,7.11,2025-09-13
Stephanie Fisher,34990551,F,"Ireland, a Nation",Normal,6.71,2026-03-13
Christina Perez,28137607,F,Buch i Trøjen,3D,12.09,2025-11-05
Maxwell Melton,22890858,M,The Deathlock,Normal,6.43,2026-05-06
Keith Aguirre,20558814,M,The College Widow,3D,13.51,2025-07-15
Adam Jones,64798386,M,"Price of Treachery; Or, The Lighthouse Keeper's Daughter",3D,13.57,2026-01-11
Linda Paul,58644371,F,Oliver Twist,Normal,8.13,2025-11-09
Kendra Lawrence,51132747,F,The Closing Net,3D,12.46,2026-03-27
Lori Mathis,50089749,F,Paul J. Rainey's African Hunt,Normal,6.96,2026-02-11
Bruce Joseph,81555029,M,On the Steps of the Throne,Normal,6.57,2025-07-14
Eileen Padilla,91206293,F,Taking His Chance,3D,12.78,2025-08-25
Judith Glass,39997039,F,Novillada de beneficencia en Zaragoza,3D,13.0,2025-10-07
Sarah Thomas,59657611,F,The Chocolate Soldier,3D,12.52,2026-02-22
Andrew Dixon,90718452,M,A Lady of Quality,3D,12.49,2026-03-01
Tyler Lawson,97370230,M,Behind the Scenes,3D,10.12,2025-08-03
Mary Richardson,39315579,F,Ansigttyven II,Normal,6.4,2025-08-26
David Howe,49482245,M,Where the Trail Divides,3D,10.5,2025-10-17
Edgar Black,34718027,M,A Study in Scarlet,3D,12.72,2025-11-05
Tina Sparks,68260679,F,La Belle Russe,3D,10.84,2026-03-28
Mike Zamora,86724765,M,Maskierte Liebe,3D,10.31,2025-06-29
Jennifer Hodge,19601207,F,The Beachcomber,3D,13.01,2026-03-17
Christopher Hatfield,96738826,M,The Closing Net,3D,13.34,2025-10-09
Meagan Nelson,54533309,F,The Win(k)some Widow,3D,13.64,2025-09-28
Melanie Lopez,44487787,F,"Price of Treachery; Or, The Lighthouse Keeper's Daughter",3D,10.61,2025-08-12
Dale Mullins,46563806,M,The Buzzard's Shadow,Normal,6.48,2026-04-13
Kevin Williams,89670043,M,The Trail of the Lonesome Pine,Normal,6.81,2025-11-28
Daniel Espinoza,28077975,M,His Brother's Wife,Normal,8.21,2025-10-06
