nombre,dni,genero,pelicula,formato,precio,fecha_visita
Tara Thompson,11421574,F,Recurse,Normal,6.71,2025-10-14
Daniel Bryant,58909837,M,Forræderne,Normal,7.67,2025-08-21
Gerald Banks,98985295,M,The Hard Way,3D,13.33,2025-11-16
James Pruitt,56728185,M,Baguette magique,3D,10.37,2025-09-11
John Miller,93476407,M,Four Days in Paris,Normal,7.32,2025-10-02
Dalton Wagner,21541618,M,Somewhere by the Sea,3D,10.45,2025-06-28
Jennifer Robles,66847634,F,3:13 Three Thirteen,3D,10.9,2026-05-13
Danielle Mendoza,44792217,F,Two Locks of Hair: The Missing Girls of Dersim,3D,10.48,2025-08-19
Jay Guzman,55183584,M,Justice Viswanathan,Normal,7.99,2025-10-13
Mark Massey,43206523,M,Rodney Atkins: Take a Back Road Live,Normal,7.77,2025-09-07
Ryan Carroll,68037705,M,Do the Right Film: Le cinéma Black américain aujourd'hui,Normal,7.99,2026-06-03
Shannon Wilson,76368540,F,Silver Seas,3D,10.99,2025-11-07
Daniel Hamilton,35301837,M,Como Caído Del Cielo,3D,13.94,2025-08-07
Claire Hanson,79386872,F,Immortali,3D,10.9,2026-05-09
Tanya Williams,11572730,F,Spirit of the Tempest,3D,11.03,2026-05-16
Joel Walker,20795847,M,Richard Nixon,Normal,8.65,2025-07-18
Jeremy Mercado,78727760,M,Stormskerry Maja,3D,10.37,2025-12-02
Carrie Prince,68599774,F,"Maa Parv: Mother's Day, Sanatan Way",Normal,8.42,2025-08-15
Michele Jones,76485139,F,The 900-Year Secret of the Knights Templar - Part 2,3D,10.79,2025-11-03
Robert Hill,19757998,M,Strange Love of the Vampires,Normal,8.06,2026-01-21
David Mendez,69561660,M,Muqaddar,3D,11.05,2026-04-16
Jeremy Stewart,27173762,M,Welkom,3D,10.61,2025-07-17
Amy Lee,51461544,F,321 días en Michigan,3D,10.06,2025-10-10
Gina Brooks,58298726,F,Bad Boy's Security,Normal,8.8,2025-08-05
Crystal Taylor,26253900,F,Bohater roku,Normal,7.07,2025-11-25
Adam Rodriguez,96513314,M,Ee vleklo bushuyushchee more,3D,11.92,2025-07-13
Elizabeth Casey,58479409,F,Seer Movie 7: Crazy Intelligence,Normal,8.22,2025-11-13
Anthony Mcguire,85454272,M,Hisirinwalle,3D,10.76,2025-08-28
Jonathan Williams,94318129,M,Without Home,Normal,6.9,2026-03-24
Dalton James,57730050,M,Ripper Untold,3D,11.38,2026-05-12
Frank Harris,58505125,M,Winners of the Wilderness,Normal,7.28,2025-06-27
Andrea Jenkins,66930884,F,Finding Love,Normal,7.17,2026-01-09
Stacey Gardner,80398029,F,Silence,3D,10.95,2025-07-18
Madison Daniels,36123235,F,A Rose by Another Name,3D,10.83,2026-01-17
Lisa Hammond,67430890,F,Revolutionshochzeit,Normal,7.86,2026-03-06
Joanna Rodriguez,13982597,F,Parizhskaya lyubov Kosti Gumankova,Normal,6.2,2025-12-09
Jennifer Schwartz,86473041,F,Bed de girl chigai,Normal,6.73,2025-10-24
Lori Smith,12405725,F,Unsigned,3D,11.71,2025-06-30
James Harris,55248402,M,Nerawareta onnatachi,Normal,6.87,2026-01-21
Matthew Wright,93236440,M,I Will,Normal,7.69,2025-10-15
Kenneth Salazar,49238165,M,Paradise City,3D,10.23,2025-12-01
Michael York,79675760,M,Ee vleklo bushuyushchee more,3D,13.77,2025-11-21
Amy Martin,20564726,F,The Shepherd's Keeper,3D,11.16,2026-03-27
Stacy Harrison,75796204,F,Skazany: Reaktywacja,3D,11.68,2025-10-03
Eric Harrell,97110316,M,Marathon Man,3D,13.66,2026-02-22
Mrs. Stacy Sweeney,20215817,F,The Guardians of Civilisation,Normal,6.58,2025-11-12
Kathleen Castillo,56356467,F,Dr. Masher,3D,11.51,2025-11-05
Donald Washington,95922096,M,Dental Plan,3D,12.11,2026-02-12
Katie Whitehead,58756113,F,Rhythm + Flow: France - After the Beat,Normal,7.18,2025-12-05
Kari Johnson,33203334,F,In the Fire,3D,11.92,2026-01-06
Rebecca Jones,69527187,F,The Lost Treasure of Hursit Pasha,3D,11.33,2025-09-25
Kevin Ayers,86901341,M,Liberty to Love,Normal,7.56,2025-07-18
Craig Williams,62526875,M,My Name Is Now,Normal,8.29,2025-11-17
Gary Martin,28722567,M,Hill Start,3D,12.37,2025-11-24
Daniel Norman,85906709,M,The Monroe Detail,3D,12.05,2025-10-28
Stephanie Rivera,17989066,F,Due West: Our Sex Journey,Normal,8.55,2026-03-09
Sara Vega,18134464,F,Learning Hebrew (A Gothsploitation Movie),Normal,7.42,2026-06-02
Mark Valdez,38935451,M,Cats Don't Come When You Call,Normal,7.61,2025-06-25
