nombre,dni,genero,pelicula,formato,precio,fecha_visita
Catherine Pollard,14034671,F,5. Schindler's List,Normal,7.06,2023-06-24
Charles Greene,56365000,M,"6. The Good, the Bad and the Ugly",Normal,7.13,2018-10-08
Maria Santiago,74164009,F,16. Star Wars: Episode IV - A New Hope,3D,13.22,2017-06-15
Brittney Jones,72499930,F,7. Star Wars: Episode V - The Empire Strikes Back,Normal,7.28,2021-11-04
Gary West,81846372,M,9. The Dark Knight,3D,13.71,2020-11-27
Tina Hayes,89549197,F,15. Metropolis,Normal,7.17,2023-06-16
Courtney Chan,52638642,F,10. The Godfather Part II,3D,12.57,2018-12-06
Patricia Martinez,29244136,F,14. 2001: A Space Odyssey,Normal,6.99,2023-07-31
Debra Graves,98010328,F,15. Metropolis,3D,10.52,2018-08-27
Dana Jackson,74992676,F,21. Casablanca,Normal,8.56,2024-05-07
Gordon Jackson,89875385,M,12. Fight Club,Normal,8.62,2018-01-07
Lauren Gonzales,30833209,F,22. The Wizard of Oz,Normal,8.17,2020-02-05
Gerald Palmer,27649782,M,17. The Lord of the Rings: The Fellowship of the Ring,3D,13.7,2021-02-16
Kim Sherman MD,90378298,F,9. The Dark Knight,Normal,7.85,2018-10-08
Matthew Hawkins,39837903,M,9. The Dark Knight,Normal,7.75,2024-06-08
Jennifer Lutz,79265598,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,13.0,2018-02-27
Michael Fleming,76475647,M,22. The Wizard of Oz,Normal,6.31,2019-07-29
Jeffrey Lowe,76082749,M,11. Pulp Fiction,3D,12.6,2019-01-31
Heather Wells,10977340,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,11.33,2019-07-30
Haley Gomez,11581719,F,21. Casablanca,3D,13.35,2025-04-26
Douglas Moore,51089329,M,11. Pulp Fiction,3D,11.61,2022-03-05
Holly Bryan,98964315,F,13. Psycho,Normal,6.33,2018-11-20
Andrea Manning,63612980,F,3. Citizen Kane,Normal,8.42,2019-12-12
Steven Stone,90825320,M,12. Fight Club,3D,13.94,2020-07-06
Anthony Mendoza,69729297,M,14. 2001: A Space Odyssey,Normal,6.18,2018-10-30
Jason Maldonado,19438428,M,1. The Shawshank Redemption,Normal,7.56,2024-06-17
Kathy Rodriguez,96521783,F,"6. The Good, the Bad and the Ugly",Normal,8.16,2019-06-11
Eric Sosa,22886380,M,15. Metropolis,Normal,6.0,2015-09-30
Jordan Johnston,66438384,M,"6. The Good, the Bad and the Ugly",Normal,7.76,2025-03-14
Amber Pearson,79692384,F,24. Forrest Gump,3D,12.37,2025-02-07
Scott Anderson,68307688,M,11. Pulp Fiction,3D,12.45,2020-08-12
Nicholas Atkinson,12410905,M,20. Raiders of the Lost Ark,3D,10.64,2017-01-02
Melissa Lambert,91826640,F,10. The Godfather Part II,3D,10.61,2023-02-14
Dr. Michael Combs,39504464,M,20. Raiders of the Lost Ark,Normal,7.57,2021-07-06
Lisa Shaffer,13283719,F,"6. The Good, the Bad and the Ugly",Normal,6.64,2016-07-12
Richard Stewart,35180016,M,11. Pulp Fiction,Normal,8.15,2023-02-17
Meredith Parker,13372986,F,8. The Lord of the Rings: The Return of the King,3D,13.54,2016-04-14
Peter Werner,49352998,M,2. The Godfather,3D,13.59,2018-09-08
Amanda Palmer,59860400,F,2. The Godfather,3D,11.73,2015-08-13
Isaac Torres,95744604,M,11. Pulp Fiction,3D,12.46,2018-04-25
Travis Rubio,64650948,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,13.93,2021-09-12
Drew Roberson,75854388,M,8. The Lord of the Rings: The Return of the King,3D,12.57,2024-06-03
Savannah Gomez,68343646,F,10. The Godfather Part II,Normal,7.77,2019-01-23
James Shea,53707531,M,12. Fight Club,3D,10.95,2021-03-08
John Brown,21250180,M,14. 2001: A Space Odyssey,Normal,8.02,2016-08-31
Corey Wade,81447810,M,11. Pulp Fiction,Normal,8.23,2020-06-09
Lauren Barajas,90810199,F,12. Fight Club,Normal,8.25,2022-11-16
Rebecca Bautista,65349553,F,20. Raiders of the Lost Ark,3D,11.42,2015-07-27
Angela Edwards,34550903,F,3. Citizen Kane,Normal,7.77,2019-02-09
Jacob Harris,22968535,M,19. The Matrix,Normal,6.2,2016-01-09
Michael Jones,70663440,M,13. Psycho,Normal,6.91,2017-01-25
Andrew Gregory,71286869,M,10. The Godfather Part II,3D,13.98,2022-08-22
Andrew Rodriguez,17095389,M,11. Pulp Fiction,3D,11.2,2019-12-05
Michelle Taylor,21933749,F,25. Inception,3D,12.18,2021-11-21
Natalie Miller,77038963,F,2. The Godfather,Normal,6.38,2018-09-09
Anthony Barnes,52810382,M,"6. The Good, the Bad and the Ugly",Normal,6.72,2020-06-13
Steven Preston,70191912,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,10.21,2016-07-28
Melissa Frederick,16966869,F,18. Terminator 2: Judgment Day,Normal,6.87,2020-10-03
Sarah Vazquez,95199086,F,25. Inception,3D,12.57,2018-06-14
William Jones,52150911,M,19. The Matrix,3D,12.51,2018-02-14
Emily Anderson,82178826,F,22. The Wizard of Oz,Normal,6.24,2023-12-07
Barry May,91743814,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,12.99,2021-04-01
Ethan Taylor,42979958,M,3. Citizen Kane,Normal,8.42,2024-12-28
Duane Charles,51766843,M,5. Schindler's List,Normal,6.67,2020-03-12
John Gibson,77139303,M,4. 12 Angry Men,3D,12.54,2020-02-26
Thomas Silva,66366802,M,17. The Lord of the Rings: The Fellowship of the Ring,3D,12.41,2024-04-06
Heather Perkins,31639431,F,22. The Wizard of Oz,3D,13.57,2018-05-07
Ricky Chandler,29462000,M,24. Forrest Gump,Normal,6.22,2023-11-09
Michael Smith,10520946,M,1. The Shawshank Redemption,Normal,8.4,2023-04-14
Jennifer Franklin,54296125,F,19. The Matrix,Normal,8.77,2020-06-16
Brian Waller,54671201,M,13. Psycho,Normal,8.31,2018-08-13
Stanley Smith,68819804,M,1. The Shawshank Redemption,Normal,7.49,2015-10-14
Rebecca Hunt,80828580,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,12.88,2019-02-08
Justin Kemp,26785973,M,1. The Shawshank Redemption,Normal,8.83,2023-08-05
Catherine Anderson,27825623,F,20. Raiders of the Lost Ark,Normal,7.8,2018-07-04
Ashley Hayes,20611847,F,4. 12 Angry Men,3D,13.2,2024-07-25
Chris Boyle,61029148,M,25. Inception,Normal,6.17,2024-06-11
Mark Collier,58556137,M,23. Seven Samurai,Normal,6.8,2015-06-04
Robin Robertson MD,77997767,F,15. Metropolis,3D,10.98,2023-04-24
Ashley Smith,65195694,F,25. Inception,3D,12.5,2019-10-21
Lisa Costa MD,76601139,F,"6. The Good, the Bad and the Ugly",Normal,6.78,2021-07-01
Megan Love,84531076,F,2. The Godfather,3D,13.71,2017-02-02
Angela Shea,71330962,F,16. Star Wars: Episode IV - A New Hope,Normal,6.4,2016-12-04
Mikayla Williams,52398344,F,11. Pulp Fiction,3D,13.57,2019-07-01
Linda Morris,17455573,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,13.85,2021-03-14
Deborah Lee,78702337,F,14. 2001: A Space Odyssey,3D,13.67,2020-04-14
Christian Simmons,37284031,M,21. Casablanca,Normal,6.27,2015-07-16
Dr. Jeanne Bryant MD,37249807,F,10. The Godfather Part II,3D,10.66,2016-12-22
Kevin Williams,52513725,M,5. Schindler's List,Normal,8.57,2024-04-09
Brenda Hansen,96117580,F,12. Fight Club,3D,13.83,2016-11-12
Joshua Schultz,13868479,M,8. The Lord of the Rings: The Return of the King,3D,13.81,2023-10-07
Edward Leach,83220985,M,19. The Matrix,3D,12.74,2016-10-16
Abigail Lee,95042487,F,11. Pulp Fiction,Normal,7.05,2023-07-17
Benjamin Pope,93499566,M,15. Metropolis,3D,10.95,2021-06-15
Carol Reyes,96400974,F,12. Fight Club,Normal,6.59,2022-09-21
Steven Miller,64136250,M,20. Raiders of the Lost Ark,3D,12.19,2024-02-25
Mark Bruce,84658524,M,3. Citizen Kane,Normal,7.04,2025-01-18
Jerry Smith,49563556,M,14. 2001: A Space Odyssey,Normal,6.85,2023-07-29
Madison Long,79409850,F,18. Terminator 2: Judgment Day,3D,13.92,2016-08-18
Michael Alvarado,47111830,M,25. Inception,3D,13.35,2022-01-22
Denise Mcgee,28584094,F,20. Raiders of the Lost Ark,3D,11.29,2023-12-10
Christina Smith,90779396,F,19. The Matrix,3D,13.8,2025-02-14
Tyler David,45012482,M,23. Seven Samurai,Normal,8.59,2017-04-22
Cynthia Chaney,90479935,F,5. Schindler's List,Normal,7.48,2021-01-28
Dr. Brandon Smith,78548501,M,21. Casablanca,Normal,6.38,2021-07-07
Alexa Simon,67774003,F,5. Schindler's List,3D,10.11,2017-01-17
Michael Lewis,52054067,M,16. Star Wars: Episode IV - A New Hope,Normal,6.35,2024-08-07
Sarah Martin,18094198,F,13. Psycho,Normal,7.44,2024-09-01
Thomas Schultz,46701072,M,20. Raiders of the Lost Ark,3D,13.43,2015-10-08
Justin Martinez,99905822,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,8.35,2023-07-17
Thomas Spencer,10232520,M,4. 12 Angry Men,Normal,8.03,2017-12-16
Daniel Bray,65111921,M,12. Fight Club,Normal,6.68,2019-11-25
Kristin Reid,63446661,F,13. Psycho,3D,11.66,2019-06-18
Brandon Ruiz,42274414,M,12. Fight Club,3D,13.02,2021-06-07
Alexis Dennis,21520401,F,13. Psycho,Normal,6.87,2023-03-31
Kristin Nelson,74210511,F,20. Raiders of the Lost Ark,3D,11.72,2017-10-08
Kayla Gardner,37168517,F,"6. The Good, the Bad and the Ugly",Normal,6.08,2021-11-22
Travis Brooks,35243036,M,10. The Godfather Part II,3D,13.54,2018-11-03
Sara Ford,23646395,F,4. 12 Angry Men,Normal,8.89,2018-01-28
Rachel Espinoza,31232002,F,10. The Godfather Part II,Normal,6.98,2022-11-10
Rebecca Saunders,86727608,F,18. Terminator 2: Judgment Day,Normal,8.6,2016-11-23
Anthony Costa,52758226,M,3. Citizen Kane,3D,10.6,2017-08-10
Jennifer Evans,35429157,F,2. The Godfather,Normal,8.81,2024-11-22
Diana Brown,26906180,F,19. The Matrix,3D,10.87,2024-09-07
Jill Powell,14726219,F,22. The Wizard of Oz,3D,10.36,2022-02-10
Mrs. Alyssa Morgan MD,46549648,F,13. Psycho,3D,11.14,2018-02-03
Lisa Frederick,25884029,F,24. Forrest Gump,3D,12.94,2021-06-15
Ashley Hopkins,52766725,F,25. Inception,3D,12.61,2018-11-20
Sheila Nichols,32773064,F,13. Psycho,3D,10.52,2022-11-16
Ricardo Johnson,81110781,M,4. 12 Angry Men,3D,13.72,2024-08-23
Tyler Nelson,57127985,M,20. Raiders of the Lost Ark,3D,13.69,2019-02-17
Steven Smith,89728560,M,14. 2001: A Space Odyssey,3D,10.13,2018-10-03
Shirley Simon,92393240,F,12. Fight Club,3D,12.01,2021-04-30
Sandra Brown,46044033,F,24. Forrest Gump,Normal,7.25,2021-03-11
Scott Lopez,48511043,M,12. Fight Club,3D,12.44,2016-10-10
Victor Wood,66741308,M,18. Terminator 2: Judgment Day,Normal,7.58,2022-07-31
Christian Morales,52181951,M,"6. The Good, the Bad and the Ugly",Normal,6.1,2021-04-25
Lisa Fletcher,77151732,F,24. Forrest Gump,Normal,7.37,2022-12-12
Kaitlyn Williams,29259816,F,9. The Dark Knight,3D,13.14,2019-05-25
