nombre,dni,genero,pelicula,formato,precio,fecha_visita
Michael Henry,16986876,M,12. Fight Club,3D,11.89,2022-11-07
Connie Welch,11964060,F,13. Psycho,Normal,7.63,2018-03-09
Melinda Moran,94063046,F,4. 12 Angry Men,3D,13.62,2018-09-16
John Carpenter,78106763,M,24. Forrest Gump,3D,10.01,2021-07-12
Sandra Trevino,69813721,F,16. Star Wars: Episode IV - A New Hope,Normal,7.9,2024-12-02
Tanya Chavez,55668627,F,10. The Godfather Part II,Normal,8.51,2017-09-24
Jennifer Ramirez,82374925,F,19. The Matrix,3D,11.92,2018-09-10
Wendy Rodgers,26964587,F,10. The Godfather Part II,3D,11.92,2021-04-15
Timothy Evans,95766073,M,21. Casablanca,3D,11.71,2017-10-24
Richard Chambers,43001280,M,16. Star Wars: Episode IV - A New Hope,Normal,6.78,2018-05-21
Laura Moses,31211272,F,23. Seven Samurai,3D,10.06,2018-02-26
Susan Browning,61284846,F,17. The Lord of the Rings: The Fellowship of the Ring,3D,10.32,2016-04-22
Mary Becker MD,77524669,F,19. The Matrix,3D,12.68,2016-03-27
Raymond Mejia,36054183,M,25. Inception,Normal,7.48,2017-07-30
John Williams,40791298,M,12. Fight Club,Normal,7.75,2023-03-24
Jose Stafford,28672017,M,10. The Godfather Part II,3D,10.95,2019-01-03
Ryan Cunningham,83918921,M,5. Schindler's List,3D,12.5,2015-11-22
William Hernandez,13487249,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,7.76,2019-07-15
James Fowler,86566670,M,20. Raiders of the Lost Ark,Normal,7.31,2020-09-08
Christina Richardson,30664903,F,25. Inception,3D,13.01,2019-07-24
David Stone,54484565,M,13. Psycho,Normal,6.74,2020-05-14
Kayla Bennett,54974557,F,18. Terminator 2: Judgment Day,Normal,7.53,2021-07-19
Amy Turner,87753572,F,8. The Lord of the Rings: The Return of the King,Normal,8.27,2017-04-29
Andrea White,50341895,F,1. The Shawshank Redemption,Normal,6.2,2022-12-12
Laura Warren,73684273,F,16. Star Wars: Episode IV - A New Hope,3D,10.93,2017-12-06
Brenda Burns,24472224,F,8. The Lord of the Rings: The Return of the King,Normal,7.34,2021-10-15
Philip Crawford,88039907,M,21. Casablanca,Normal,8.11,2024-10-10
Donald Anderson,45244929,M,2. The Godfather,Normal,6.82,2024-03-28
Melanie Sanders,65298193,F,"6. The Good, the Bad and the Ugly",3D,12.15,2023-05-29
