nombre,dni,genero,pelicula,formato,precio,fecha_visita
Christie Rodgers,83151329,F,22. The Wizard of Oz,Normal,7.46,2019-10-16
Casey Parker,83337821,M,20. Raiders of the Lost Ark,Normal,7.57,2016-01-09
Loretta Webster,77574564,F,21. Casablanca,3D,13.88,2018-10-06
Michelle Smith,93501849,F,1. The Shawshank Redemption,3D,11.1,2017-07-22
Ms. Emily Paul,92389506,F,1. The Shawshank Redemption,3D,12.34,2016-09-30
Andrew Poole,38346856,M,2. The Godfather,3D,11.67,2017-10-15
Daniel Carson,68989053,M,25. Inception,3D,13.5,2017-07-24
Rebecca Ayala,93868709,F,10. The Godfather Part II,3D,12.99,2022-06-14
Michael Buckley,37948865,M,1. The Shawshank Redemption,Normal,8.76,2023-07-21
Sarah Harrington,81045303,F,3. Citizen Kane,Normal,8.29,2015-07-16
Randy Hicks,81158769,M,24. Forrest Gump,3D,10.93,2022-03-15
Zachary Brown,91136353,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,13.72,2018-02-01
William Ramirez,57803025,M,2. The Godfather,Normal,6.59,2016-08-22
Michael Chandler,84679718,M,20. Raiders of the Lost Ark,Normal,8.81,2021-12-16
Sarah Martin,39141198,F,22. The Wizard of Oz,3D,11.62,2017-01-10
Victor Johnson,69037890,M,21. Casablanca,Normal,6.78,2019-03-28
Lawrence Smith,75157835,M,18. Terminator 2: Judgment Day,Normal,6.3,2025-05-01
Keith Logan Jr.,25402824,M,2. The Godfather,3D,13.57,2020-12-07
Robert Bryant,87605452,M,15. Metropolis,3D,12.74,2023-02-11
Dennis Reynolds,32364774,M,7. Star Wars: Episode V - The Empire Strikes Back,3D,10.11,2018-11-13
Karen Smith,67329042,F,"6. The Good, the Bad and the Ugly",Normal,7.3,2020-05-21
Terry Gardner,18857001,M,23. Seven Samurai,3D,13.15,2023-02-11
Cheyenne Wilson,72501723,F,17. The Lord of the Rings: The Fellowship of the Ring,Normal,6.13,2020-10-22
Benjamin Mitchell,29286194,M,16. Star Wars: Episode IV - A New Hope,3D,11.41,2019-02-26
Andrea Bowen,26060691,F,11. Pulp Fiction,3D,13.38,2019-06-12
Timothy Wright,34621988,M,21. Casablanca,Normal,8.51,2016-08-22
Teresa Hall,91073674,F,5. Schindler's List,Normal,6.97,2023-03-14
Richard Hartman,41181486,M,20. Raiders of the Lost Ark,Normal,8.67,2021-05-24
Michael Morgan,43208503,M,18. Terminator 2: Judgment Day,Normal,6.69,2018-07-09
Gregory Phelps,56672853,M,1. The Shawshank Redemption,3D,12.32,2016-01-23
Tracy Martin,17706215,M,4. 12 Angry Men,3D,10.42,2022-03-22
Madison Andrews,49190274,F,10. The Godfather Part II,3D,10.64,2021-04-20
Jamie Johnson,60858779,F,23. Seven Samurai,Normal,7.7,2018-04-20
Rodney Weber,20238556,M,10. The Godfather Part II,3D,11.77,2020-04-24
Mrs. Christina Gray,28701471,F,5. Schindler's List,3D,12.86,2019-05-29
Cheryl Oconnor,40409340,F,14. 2001: A Space Odyssey,Normal,7.45,2022-03-24
Sherry Curtis,76101264,F,11. Pulp Fiction,3D,13.18,2016-01-11
Cole Gardner,10309084,M,17. The Lord of the Rings: The Fellowship of the Ring,Normal,6.68,2016-02-07
Michele Cruz,37439837,F,10. The Godfather Part II,3D,13.52,2016-12-12
Ronald Costa,73226772,M,12. Fight Club,3D,10.89,2023-02-11
Tara Davis MD,28251849,F,10. The Godfather Part II,3D,11.73,2018-01-18
Michael Young,27013209,M,9. The Dark Knight,3D,13.15,2017-03-30
Michelle Mercado,69053507,F,10. The Godfather Part II,3D,13.69,2016-05-03
Robert Carey,98911809,M,11. Pulp Fiction,3D,13.41,2022-08-15
Eric Paul,75085969,M,5. Schindler's List,Normal,8.76,2024-04-21
Christian Johnson,45609310,M,23. Seven Samurai,Normal,8.79,2025-05-14
Mark Cuevas,40609283,M,25. Inception,3D,11.45,2022-07-04
David Clay,10215777,M,14. 2001: A Space Odyssey,3D,11.9,2024-08-07
Kelsey Nelson,68673942,F,20. Raiders of the Lost Ark,3D,13.79,2015-11-30
Deanna Durham,18746800,F,21. Casablanca,Normal,6.02,2018-12-21
James Gonzalez,42347300,M,19. The Matrix,3D,11.74,2016-12-28
Sierra Gonzalez,72979925,F,7. Star Wars: Episode V - The Empire Strikes Back,3D,11.74,2015-05-20
Kayla Swanson,42437903,F,14. 2001: A Space Odyssey,Normal,8.27,2015-06-01
Adam Shannon,33876315,M,14. 2001: A Space Odyssey,3D,13.36,2019-02-14
Michael Haney,73768331,M,20. Raiders of the Lost Ark,3D,10.41,2017-12-11
Jason Rhodes,77359187,M,16. Star Wars: Episode IV - A New Hope,3D,12.26,2020-02-22
Dustin Smith,22598110,M,"6. The Good, the Bad and the Ugly",3D,13.3,2018-08-27
Andrea Kerr,27487745,F,18. Terminator 2: Judgment Day,3D,12.46,2016-12-28
Julie Scott,87466578,F,11. Pulp Fiction,Normal,7.56,2017-04-02
Eric Johnson,72441814,M,9. The Dark Knight,3D,10.72,2015-10-01
Benjamin Miller,27088613,M,25. Inception,3D,11.02,2022-05-17
Allison Hughes,21570243,F,2. The Godfather,3D,13.72,2016-03-10
